insert	query	update	delete	getmore	command	flushes	mapped	vsize	res	faults	locked-db	%idx-miss	qr|qw	ar|aw	netIn	netOut	conn	time	%user	%nice	%system	%iowait	%steal	%idle	Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	svctm	%util
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	304	21:57:08	0.00	0.00	0.00	0.00	0.00	100.00	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi5:0.1%	0	0|0	0|0	124b	7k	304	21:57:09	0.00	0.00	0.75	0.37	0.00	98.88	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	304	21:57:11	0.00	0.00	0.50	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	304	21:57:12	0.00	0.00	0.38	0.00	0.00	99.62	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	304	21:57:13	0.00	0.00	0.25	0.00	0.00	99.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	304	21:57:14	0.00	0.00	0.25	0.00	0.00	99.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	12	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	304	21:57:15	0.12	0.00	0.25	0.12	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	304	21:57:16	0.00	0.00	0.37	0.00	0.12	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.05g	27m	0	multi9:0.0%	0	0|0	0|0	124b	7k	304	21:57:17	0.12	0.00	0.38	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	5557	5550	0	0	2	0	800m	2.05g	27m	0	multi5:8.7%	0	0|0	0|1	2m	2m	304	21:57:18	3.22	0.00	3.22	0.00	0.13	93.43	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	8683	8690	0	0	2	1	800m	2.05g	27m	0	multi5:14.0%	0	0|0	0|0	4m	3m	304	21:57:19	8.37	0.00	10.26	1.89	0.81	78.68	dm-0	0.00	0.00	0.00	24.00	0.00	36.00	3.00	0.20	7.83	5.50	13.20
0	4295	4283	0	0	2	0	800m	2.05g	27m	0	multi9:7.5%	0	15|0	0|1	1m	1m	304	21:57:20	1.84	0.00	2.89	0.39	0.26	94.61	dm-0	0.00	0.00	0.00	5.00	0.00	4.00	1.60	0.02	6.40	3.20	1.60
0	7683	7688	0	0	2	0	800m	2.05g	28m	0	multi9:11.6%	0	0|0	1|0	3m	2m	304	21:57:21	7.01	0.00	6.61	0.13	0.40	85.85	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	12107	12109	0	0	2	0	800m	2.05g	27m	0	multi9:19.0%	0	0|0	0|1	5m	3m	304	21:57:22	8.33	0.00	11.75	0.00	0.68	79.23	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	12387	12390	0	0	2	0	800m	2.05g	28m	0	multi9:15.3%	0	0|0	0|0	6m	4m	304	21:57:23	9.44	0.00	12.64	0.14	0.69	77.08	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	13598	13594	0	0	2	0	800m	2.05g	28m	0	multi9:12.7%	0	0|0	0|0	6m	4m	304	21:57:24	10.08	0.00	12.13	0.00	0.54	77.25	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	9067	9070	0	0	4	0	800m	2.05g	28m	0	multi2:7.3%	0	0|0	0|0	4m	3m	304	21:57:25	7.19	0.00	7.97	0.39	0.39	84.05	dm-0	0.00	0.00	0.00	4.00	0.00	16.00	8.00	0.03	7.00	3.00	1.20
0	8172	8172	0	0	3	0	800m	2.05g	28m	0	multi2:5.8%	0	0|0	1|0	4m	3m	304	21:57:26	6.48	0.00	5.95	0.00	0.26	87.30	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	14203	14197	0	0	2	0	800m	2.05g	28m	0	multi2:14.4%	0	0|0	0|0	7m	5m	304	21:57:27	12.13	0.00	11.32	0.13	0.54	75.88	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	10522	10519	0	0	2	0	800m	2.05g	28m	0	multi1:5.8%	0	0|0	0|0	5m	3m	304	21:57:28	9.31	0.00	8.78	0.13	0.66	81.13	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	16670	16681	0	0	2	0	800m	2.05g	28m	0	multi2:11.7%	0	0|0	2|0	8m	5m	304	21:57:29	14.74	0.00	16.33	0.00	0.53	68.39	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	15859	15854	0	0	2	0	800m	2.05g	28m	0	multi9:10.4%	0	2|0	1|1	8m	5m	304	21:57:30	14.59	0.00	14.86	0.27	0.67	69.61	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	17664	17662	0	0	4	0	800m	2.05g	28m	0	multi1:11.4%	0	0|0	0|0	8m	6m	304	21:57:31	15.03	0.00	18.52	0.00	0.67	65.77	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	20111	20117	0	0	5	0	800m	2.05g	28m	0	multi9:13.2%	0	0|0	1|0	9m	6m	304	21:57:32	19.32	0.00	20.27	0.14	0.81	59.46	dm-0	0.00	0.00	0.00	4.00	0.00	16.00	8.00	0.02	6.00	2.00	0.80
0	17539	17533	0	0	10	0	800m	2.05g	28m	0	multi8:15.2%	0	0|0	0|1	8m	5m	304	21:57:33	15.56	0.00	17.22	0.14	0.83	66.25	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	17318	17310	0	0	4	0	800m	2.05g	28m	0	multi8:10.8%	0	2|0	0|1	8m	5m	304	21:57:34	14.30	0.00	19.84	0.13	0.81	64.91	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
