insert	query	update	delete	getmore	command	flushes	mapped	vsize	res	faults	locked-db	%idx-miss	qr|qw	ar|aw	netIn	netOut	conn	time	%user	%nice	%system	%iowait	%steal	%idle	Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	svctm	%util
0	0	0	0	0	2	0	800m	2.03g	28m	0	multi9:0.0%	0	0|0	0|0	124b	7k	283	21:57:08	0.00	0.00	0.13	0.00	0.00	99.87	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	1.60	33.42	2.00	9.60
0	0	0	0	0	2	0	800m	2.03g	28m	0	admin:0.0%	0	0|0	0|0	124b	7k	283	21:57:10	0.13	0.00	0.88	1.01	0.13	97.86	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.03g	28m	0	multi9:0.0%	0	0|0	0|0	124b	7k	283	21:57:11	0.13	0.00	0.51	0.76	0.13	98.48	dm-0	0.00	0.00	0.00	51.00	0.00	2060.00	80.78	2.67	52.39	2.90	14.80
0	0	0	0	0	2	0	800m	2.03g	28m	0	multi9:0.0%	0	0|0	0|0	124b	7k	283	21:57:12	0.25	0.00	0.13	0.00	0.13	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.03g	28m	0	multi9:0.0%	0	0|0	0|0	124b	7k	283	21:57:13	0.00	0.00	0.76	0.00	0.13	99.11	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.03g	28m	0	multi9:0.0%	0	0|0	0|0	124b	7k	283	21:57:14	0.00	0.00	0.50	0.00	0.13	99.37	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	1.59	33.08	1.17	5.60
0	0	0	0	0	2	0	800m	2.03g	28m	0	multi9:0.0%	0	0|0	0|0	124b	7k	283	21:57:15	0.00	0.00	0.76	0.00	0.13	99.12	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	0	0	0	0	2	0	800m	2.03g	28m	0	multi9:0.0%	0	0|0	0|0	124b	7k	283	21:57:16	0.00	0.00	0.63	0.25	0.13	98.99	dm-0	0.00	0.00	0.00	51.00	0.00	2060.00	80.78	1.59	31.22	2.90	14.80
0	0	0	0	0	2	0	800m	2.03g	28m	0	multi9:0.0%	0	0|0	0|0	124b	7k	283	21:57:17	0.13	0.00	0.38	0.00	0.00	99.50	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	120	119	0	0	2	0	800m	2.03g	28m	0	multi9:0.3%	0	0|0	0|0	46k	39k	283	21:57:18	0.00	0.00	1.01	0.13	0.25	98.61	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	3957	3953	0	0	2	1	800m	2.03g	28m	0	.:6.3%	0	0|0	0|1	1m	1m	283	21:57:19	2.94	0.00	3.71	2.69	0.13	90.52	dm-0	0.00	0.00	0.00	77.00	0.00	2088.00	54.23	1.49	19.32	2.91	22.40
0	9898	9877	0	0	2	0	800m	2.03g	28m	0	multi3:14.0%	0	0|0	0|0	4m	3m	283	21:57:20	7.18	0.00	9.62	0.00	0.81	82.38	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	19779	19798	0	0	2	0	800m	2.03g	28m	0	multi2:26.1%	0	2|0	2|1	9m	7m	283	21:57:21	20.73	0.00	27.87	0.14	0.98	50.28	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	2.17	45.17	1.67	8.00
0	27472	27444	0	0	2	0	800m	2.03g	28m	0	multi2:33.9%	0	83|0	1|4	13m	9m	283	21:57:22	29.29	0.00	43.38	0.14	0.98	26.22	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	23722	23677	0	0	2	0	800m	2.03g	28m	0	multi2:27.4%	0	12|0	2|1	10m	7m	283	21:57:23	27.51	0.00	45.81	0.14	0.84	25.70	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	28743	28796	0	0	2	0	800m	2.03g	28m	0	multi7:36.4%	0	150|0	2|2	13m	9m	283	21:57:24	33.19	0.00	46.33	0.28	1.13	19.07	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	5.26	109.58	4.50	21.60
0	19873	19859	0	0	7	0	800m	2.03g	28m	0	multi7:30.9%	0	161|0	0|1	8m	5m	285	21:57:25	22.88	0.00	42.64	1.19	1.34	31.95	dm-0	0.00	0.00	0.00	5.00	0.00	20.00	8.00	0.66	132.80	48.80	24.40
0	21114	21131	0	0	2	0	800m	2.03g	28m	0	multi7:31.7%	0	124|0	1|2	9m	5m	285	21:57:26	21.23	0.00	44.51	0.15	1.61	32.50	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	2.65	55.17	1.92	9.20
0	24673	24672	0	0	2	0	800m	2.03g	28m	0	multi7:33.3%	0	0|0	0|0	10m	6m	285	21:57:27	26.87	0.00	36.27	0.15	1.49	35.22	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	21816	21771	0	0	2	0	800m	2.03g	28m	0	multi6:25.7%	0	32|0	0|1	9m	5m	285	21:57:28	21.72	0.00	27.11	0.41	0.69	50.07	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	24110	24157	0	0	2	0	800m	2.03g	28m	0	multi6:26.3%	0	29|0	1|2	10m	6m	285	21:57:29	25.48	0.00	45.04	0.28	1.10	28.10	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	5.36	111.75	2.83	13.60
0	21070	21079	0	0	2	0	800m	2.03g	28m	0	multi4:28.7%	0	3|0	0|2	9m	5m	285	21:57:30	23.03	0.00	28.97	1.66	0.97	45.38	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	20657	20650	0	0	4	0	800m	2.03g	28m	0	multi4:20.0%	0	33|0	0|2	9m	5m	285	21:57:31	21.40	0.00	26.68	0.26	0.79	50.86	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	3.36	12.17	2.83	13.60
0	24154	24147	0	0	5	0	800m	2.03g	28m	0	multi4:23.0%	0	0|0	0|0	10m	6m	285	21:57:32	23.98	0.00	33.92	0.14	1.09	40.87	dm-0	0.00	0.00	0.00	5.00	0.00	20.00	8.00	0.74	702.40	8.00	4.00
0	13529	13537	0	0	10	0	800m	2.03g	28m	0	multi5:10.8%	0	0|0	0|0	6m	4m	285	21:57:33	13.99	0.00	17.36	0.26	0.52	67.88	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	17837	17843	0	0	4	0	800m	2.03g	28m	0	multi6:18.3%	0	0|0	0|0	8m	5m	285	21:57:34	14.44	0.00	19.35	0.14	0.68	65.40	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	1.56	32.50	1.25	6.00
0	21974	21968	0	0	4	0	800m	2.03g	28m	0	multi6:21.8%	0	16|0	1|3	10m	7m	285	21:57:35	21.20	0.00	23.71	0.28	0.98	53.84	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	25953	25952	0	0	6	0	800m	2.03g	28m	0	multi5:19.4%	0	8|0	1|1	13m	8m	287	21:57:36	28.61	0.00	35.76	0.00	0.40	35.23	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	1.08	0.00	2.42	11.60
0	19173	19175	0	0	6	0	800m	2.03g	28m	0	multi3:13.4%	0	10|2	1|3	9m	6m	289	21:57:37	16.42	0.00	17.78	0.27	0.82	64.71	dm-0	0.00	0.00	0.00	5.00	0.00	20.00	8.00	0.78	372.00	12.80	6.40
0	24222	24199	0	0	26	0	800m	2.04g	28m	0	multi2:23.4%	0	0|0	0|0	12m	8m	300	21:57:38	26.96	0.00	32.11	0.00	0.95	39.97	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	25051	25072	0	0	2	0	800m	2.04g	28m	0	multi2:28.8%	0	23|0	0|2	12m	8m	300	21:57:39	25.41	0.00	48.51	0.27	0.68	25.14	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	2.70	56.17	5.50	26.40
0	24261	24254	0	0	4	0	800m	2.04g	28m	0	multi5:17.5%	0	0|0	0|0	11m	8m	300	21:57:40	24.49	0.00	32.15	0.00	0.96	42.41	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	24775	24783	0	0	10	0	800m	2.04g	28m	0	multi2:24.8%	0	39|0	0|3	12m	8m	300	21:57:41	23.87	0.00	32.43	0.52	0.52	42.67	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	26575	26583	0	0	9	0	800m	2.04g	28m	0	multi0:27.1%	0	3|0	2|1	13m	9m	300	21:57:42	30.37	0.00	41.72	0.14	0.82	26.95	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	2.44	50.75	1.83	8.80
0	21293	21289	0	0	3	0	800m	2.04g	28m	0	multi2:21.8%	0	15|0	5|1	11m	8m	300	21:57:43	20.03	0.00	27.77	0.40	0.80	51.00	dm-0	0.00	0.00	0.00	5.00	0.00	20.00	8.00	0.28	56.80	18.40	9.20
0	21665	21657	0	0	2	0	800m	2.04g	28m	0	multi0:17.4%	0	4|0	0|1	10m	7m	300	21:57:44	23.21	0.00	31.71	0.27	0.94	43.86	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	2.73	56.83	1.58	7.60
0	21342	21324	0	0	6	0	800m	2.04g	28m	0	multi2:19.7%	0	0|0	0|0	11m	7m	300	21:57:45	21.90	0.00	23.28	0.14	0.83	53.86	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	19378	19377	0	0	15	0	800m	2.04g	28m	0	multi0:25.2%	0	46|0	2|2	9m	6m	300	21:57:46	20.63	0.00	28.45	0.14	1.00	49.79	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	17459	17484	0	0	28	0	800m	2.05g	29m	0	multi0:23.7%	0	0|0	0|0	8m	5m	304	21:57:47	16.37	0.00	20.39	0.14	0.69	62.41	dm-0	0.00	0.00	0.00	48.00	0.00	2048.00	85.33	6.06	126.33	4.33	20.80
0	14798	14769	0	0	5	0	800m	2.05g	29m	0	multi0:19.9%	0	32|0	0|1	7m	4m	304	21:57:48	13.86	0.00	16.85	0.14	0.68	68.48	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0	15173	15201	0	0	5	0	800m	2.05g	29m	0	multi0:18.9%	0	0|0	0|0	7m	5m	304	21:57:49	13.82	0.00	15.53	1.28	1.00	68.38	dm-0	0.00	0.00	0.00	53.00	0.00	2068.00	78.04	4.51	85.06	4.53	24.00
0	14486	14472	0	0	3	0	800m	2.05g	29m	0	multi0:12.5%	0	0|0	0|0	6m	4m	304	21:57:50	11.67	0.00	13.61	0.28	0.69	73.75	dm-0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
